rajeev@Rajeevs-MacBook-Air airIQ % git pull --no-rebase origin main
error: You have not concluded your merge (MERGE_HEAD exists).
hint: Please, commit your changes before merging.
fatal: Exiting because of unfinished merge.
rajeev@Rajeevs-MacBook-Air airIQ % 
station,last_update,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,AQI
"15th Mile-Nongthymmai, Byrnihat - Meghalaya PCB",2026-04-21 17:00:00,13.0,5.0,22.0,44.0,92.0,61.0,13.0,92.0
"32Bungalows, Bhilai - CECB",2026-04-21 17:00:00,16.0,4.0,17.0,29.0,35.0,30.0,17.0,35.0
"AIIMS, Raipur - CECB",2026-04-21 17:00:00,34.0,4.0,33.0,20.0,59.0,31.0,2.0,59.0
"Adarsh Nagar, Jaipur - RSPCB",2026-04-21 17:00:00,19.0,8.0,34.0,18.0,96.0,118.0,24.0,118.0
"Airport Area, Indore - IMC",2026-04-21 17:00:00,49.0,5.0,5.0,18.0,66.0,84.0,9.0,84.0
"Alipur, Delhi - DPCC",2026-04-21 17:00:00,30.0,12.0,42.0,35.0,200.0,117.0,19.0,200.0
"Ambazari, Nagpur - MPCB",2026-04-21 17:00:00,12.0,6.0,15.0,73.0,80.0,69.0,14.0,80.0
"Ambedkar Nagar, Nellore - APPCB ",2026-04-21 17:00:00,38.0,5.0,23.0,32.0,37.0,37.0,10.0,38.0
"Amity University, Panchgaon - IITM",2026-04-21 17:00:00,24.0,3.0,6.0,77.0,116.0,128.0,25.0,128.0
"Anand Kala Kshetram, Rajamahendravaram - APPCB",2026-04-21 17:00:00,22.0,2.0,9.0,21.0,36.0,16.0,6.0,36.0
"Anand Vihar, Delhi - DPCC",2026-04-21 17:00:00,40.0,13.0,91.0,7.0,256.0,148.0,22.0,256.0
"Anand Vihar, Hapur - UPPCB",2026-04-21 17:00:00,30.0,12.0,62.0,42.0,237.0,125.0,60.0,237.0
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",2026-04-21 17:00:00,28.0,1.0,19.0,44.0,95.0,87.0,19.0,95.0
"Ardhali Bazar, Varanasi - UPPCB",2026-04-21 17:00:00,16.0,5.0,41.0,23.0,107.0,84.0,11.0,107.0
"Arumbakkam, Chennai - TNPCB",2026-04-21 17:00:00,28.0,2.0,12.0,44.0,70.0,19.0,2.0,70.0
"Arya Nagar, Bahadurgarh - HSPCB",2026-04-21 17:00:00,47.0,13.0,13.0,25.0,129.0,169.0,6.0,169.0
"Asansol Court Area, Asansol - WBPCB",2026-04-21 17:00:00,35.0,6.0,37.0,61.0,92.0,111.0,15.0,111.0
"Ashok Nagar, Udaipur - RSPCB",2026-04-21 17:00:00,21.0,10.0,57.0,56.0,105.0,96.0,7.0,105.0
"Ashok Vihar, Delhi - DPCC",2026-04-21 17:00:00,44.0,7.0,49.0,62.0,189.0,121.0,27.0,189.0
"Ashta Vinayak Nagar, Hingoli - MPCB",2026-04-21 17:00:00,14.0,2.0,12.0,184.0,30.0,23.0,3.0,231.0
"Aya Nagar, Delhi - IMD",2026-04-21 17:00:00,36.0,5.0,45.0,74.0,158.0,84.0,13.0,158.0
"B R Ambedkar University, Lucknow - UPPCB",2026-04-21 17:00:00,28.0,4.0,12.0,81.0,152.0,85.0,21.0,152.0
"BTM Layout, Bengaluru - CPCB",2026-04-21 17:00:00,48.0,5.0,27.0,24.0,90.0,39.0,17.0,90.0
"BWSSB Kadabesanahalli, Bengaluru - CPCB",2026-04-21 17:00:00,38.0,1.0,19.0,36.0,44.0,22.0,5.0,44.0
"Ballygunge, Kolkata - WBPCB",2026-04-21 17:00:00,20.0,6.0,17.0,29.0,50.0,42.0,20.0,50.0
"Bamboliya, Baran - RSPCB",2026-04-21 17:00:00,20.0,3.0,34.0,96.0,123.0,104.0,18.0,123.0
"Bandhavgar Colony, Satna - Birla Cement",2026-04-21 17:00:00,21.0,5.0,12.0,44.0,70.0,50.0,23.0,70.0
"Bandra Kurla Complex, Mumbai - IITM",2026-04-21 17:00:00,50.0,19.0,36.0,20.0,130.0,85.0,1.0,130.0
"Bandra Kurla Complex, Mumbai - MPCB",2026-04-21 17:00:00,10.0,4.0,21.0,53.0,89.0,76.0,3.0,89.0
"Bapuji Nagar, Bengaluru - KSPCB",2026-04-21 17:00:00,25.0,3.0,28.0,78.0,96.0,42.0,23.0,96.0
"Bapunagar, Vadodara - Nexteng Enviro",2026-04-21 17:00:00,81.0,3.0,16.0,7.0,122.0,125.0,6.0,125.0
"Bardowali, Agartala - Tripura SPCB",2026-04-21 17:00:00,16.0,4.0,18.0,12.0,85.0,64.0,3.0,85.0
"Barsua Iron Ore Mines, Tensa - OSPCB",2026-04-21 17:00:00,43.0,5.0,22.0,75.0,92.0,46.0,13.0,92.0
"Bata Chowk, Nalbari - PCBA",2026-04-21 17:00:00,22.0,6.0,14.0,16.0,35.0,32.0,23.0,35.0
"Bawana, Delhi - DPCC",2026-04-21 17:00:00,32.0,5.0,22.0,56.0,206.0,139.0,25.0,206.0
